filename;car_number
HG0A3781.CR3;51
HG0A3782.CR3;51
HG0A3783.CR3;38
HG0A3784.CR3;38
HG0A3793.CR3;199
HG0A3796.CR3;4
HG0A3806.CR3;007
HG0A3812.CR3;48
HG0A3813.CR3;59
HG0A3819.CR3;6
HG0A3821.CR3;95
HG0A3827.CR3;83
HG0A3831.CR3;45
HG0A3833.CR3;43
HG0A3836.CR3;37
HG0A3841.CR3;23
HG0A3842.CR3;6
HG0A3844.CR3;5
HG0A3848.CR3;81
HG0A3854.CR3;10
HG0A3858.CR3;37
HG0A3865.CR3;6
HG0A3868.CR3;85
HG0A3869.CR3;85
HG0A3871.CR3;9
HG0A3879.CR3;22
HG0A3881.CR3;10
HG0A3883.CR3;11
HG0A3885.CR3;46
HG0A3887.CR3;25
HG0A3892.CR3;18
HG0A3894.CR3;24
HG0A3895.CR3;24
HG0A3896.CR3;34
HG0A3901.CR3;6
HG0A3903.CR3;150
HG0A3905.CR3;35
HG0A3908.CR3;94
HG0A3912.CR3;28
HG0A3917.CR3;23
HG0A3918.CR3;23
HG0A3923.CR3;34
HG0A3924.CR3;29
HG0A3927.CR3;37
HG0A3930.CR3;27
HG0A3931.CR3;90
HG0A3932.CR3;90
HG0A3933.CR3;93
HG0A3941.CR3;16
HG0A3942.CR3;18
HG0A3946.CR3;34
HG0A3947.CR3;34
HG0A3948.CR3;63
HG0A3949.CR3;63
HG0A3950.CR3;16
HG0A3952.CR3;183
HG0A3953.CR3;183
HG0A3959.CR3;43
HG0A3960.CR3;35
HG0A3969.CR3;25
HG0A3972.CR3;57
HG0A3977.CR3;7
HG0A3980.CR3;28
HG0A3982.CR3;18
HG0A3985.CR3;007
HG0A3990.CR3;59
HG0A3991.CR3;59
HG0A3993.CR3;35
HG0A3994.CR3;009
HG0A3995.CR3;009
HG0A3996.CR3;007
HG0A4004.CR3;8
HG0A4006.CR3;54
HG0A4008.CR3;35
HG0A4014.CR3;12
HG0A4018.CR3;94
HG0A4022.CR3;87
HG0A4023.CR3;5
HG0A4024.CR3;36
HG0A4030.CR3;31
HG0A4043.CR3;7
HG0A4046.CR3;61
HG0A4048.CR3;61
HG0A4051.CR3;41
HG0A4054.CR3;92
HG0A4057.CR3;37
HG0A4064.CR3;4
HG0A4068.CR3;7
HG0A4072.CR3;23
HG0A4075.CR3;61
HG0A4076.CR3;10
HG0A4077.CR3;009
HG0A4078.CR3;009
HG0A4080.CR3;87
HG0A4085.CR3;43
HG0A4087.CR3;90
HG0A4091.CR3;2
HG0A4092.CR3;51
HG0A4095.CR3;92
HG0A4098.CR3;31
HG0A4100.CR3;12
HG0A4106.CR3;10
HG0A4108.CR3;86
HG0A4111.CR3;7
HG0A4115.CR3;46
HG0A4117.CR3;63
HG0A4118.CR3;63
HG0A4124.CR3;21
HG0A4127.CR3;29
HG0A4130.CR3;78
HG0A4131.CR3;38
HG0A4132.CR3;38
HG0A4133.CR3;85
HG0A4134.CR3;85
HG0A4135.CR3;50
HG0A4137.CR3;24
HG0A4140.CR3;46
HG0A4144.CR3;59
HG0A4162.CR3;21
HG0A4164.CR3;6
HG0A4166.CR3;11
HG0A4170.CR3;27
HG0A4171.CR3;78
HG0A4174.CR3;7
HG0A4178.CR3;46
HG0A4180.CR3;71
HG0A4181.CR3;11
HG0A4182.CR3;63
HG0A4184.CR3;63
HG0A4185.CR3;63
HG0A4187.CR3;20
HG0A4193.CR3;27
HG0A4196.CR3;57
HG0A4200.CR3;63
HG0A4201.CR3;48
HG0A4203.CR3;43
HG0A4215.CR3;16
HG0A4219.CR3;15
HG0A4224.CR3;78
HG0A4233.CR3;63
HG0A4237.CR3;37
HG0A4239.CR3;6
HG0A4240.CR3;61
HG0A4242.CR3;34
HG0A4244.CR3;5
HG0A4247.CR3;43
HG0A4248.CR3;32
HG0A4250.CR3;38
HG0A4252.CR3;50
HG0A4253.CR3;95
HG0A4254.CR3;95
HG0A4255.CR3;709
HG0A4256.CR3;80
HG0A4257.CR3;80
HG0A4258.CR3;98
HG0A4260.CR3;63
HG0A4262.CR3;36
HG0A4265.CR3;57
HG0A4267.CR3;47
HG0A4269.CR3;61
HG0A4270.CR3;51
HG0A4271.CR3;51
HG0A4276.CR3;48
